id,title,original_title,overview,adult,original_language,popularity,release_date,vote_average,vote_count
1430386,Woman and Child,زن و بچه,"Mahnaz, a 40-year-old widowed nurse, struggles with her rebellious son, Aliyar, who has been suspended from school. Family tensions reach a peak during the betrothal ceremony with her new boyfriend Hamid, and a tragic accident occurs. In the aftermath, Mahnaz will be forced to confront betrayal and loss, and to embark on a quest for justice.",False,fa,0.8012,2025-07-23,5.4,5
10327,"Legally Blonde 2: Red, White & Blonde","Legally Blonde 2: Red, White & Blonde","Now a rising young lawyer, Elle Woods is about to make partner at her firm, but when she finds out her dog's relatives are being used as cosmetic test subjects, she heads to Washington D.C. to fight for animal rights.",False,en,6.7881,2003-07-02,5.721,1761
1633056,All Wishes Come True,八仙！,"Eight grassroot mortals use their street smarts and hilarious schemes to defy powerful gods, earning their title as the ""Eight Immortals.""",False,zh,0.3167,2026-07-24,0.0,0
1649791,Ishqnama,Ishqnama,‘ISHQNAMA’ True Story of True Lovers NIMMA–NASIMA,False,pa,0.5096,2026-07-24,0.0,0
1384512,Tera Yaar Hoon Main,Tera Yaar Hoon Main,,False,hi,0.9816,2026-07-24,0.0,0
1439808,Hadestown: The Musical,Hadestown: The Musical,"The tragic love of Orpheus and Eurydice is intertwined with the complex relationship of Hades and Persephone. Eurydice, struggling with poverty, is lured to the industrial underworld of Hadestown by Hades, while Orpheus, a struggling musician, ventures down below to bring her back.",False,en,1.726,2026-07-24,0.0,0
662707,Starbright,Starbright,"A young woman becomes the guardian of a fallen star, which she must protect from dangerous forces with the help of a brave stranger.",False,en,13.4338,2026-02-27,5.675,20
1724434,Mutaforma,Mutaforma,"A robber breaks into Sabrina's home to steal a cache of diamonds. But when he finally finds them, the situation takes an unexpected turn.",False,it,0.0143,2026-06-08,0.0,0
1575438,Finnegan's Foursome,Finnegan's Foursome,"Two middle aged brothers and their respective sons travel to Ireland to play the Finnegan Family's annual golf outing, where they distribute the ashes of the family patriarch",False,en,1.7906,2026-06-07,9.0,1
1019871,Little Trouble Girls,Kaj ti je deklica,16-year-old Lucia joins the Catholic school choir where she befriends senior Ana-Maria. During a choir retreat Lucia's attraction to a restoration worker creates tension with Ana-Maria and challenges her faith.,False,sl,3.148,2025-08-29,7.1,19
840873,A Magnificent Life,Marcel et Monsieur Pagnol,"In 1955, 60-year-old Marcel Pagnol is a well-known and acclaimed playwright and filmmaker. When the editor-in-chief of ELLE magazine commissions a weekly column about Pagnol's childhood, he sees this as a great opportunity to go back to his artistic roots: writing. Realizing his memory is failing him and deeply affected by the disappointing results of his last two plays, Pagnol starts doubting his ability to pursue his work. That is until Little Marcel - the young boy he used to be - appears to him as if by magic. Together, they will explore Marcel Pagnol's incredible life and bring back to life his most cherished encounters and memories...",False,fr,1.8169,2025-10-15,7.333,18
920,Cars,Cars,"Lightning McQueen, a hotshot rookie race car driven to succeed, discovers that life is about the journey, not the finish line, when he finds himself unexpectedly detoured in the sleepy Route 66 town of Radiator Springs. On route across the country to the big Piston Cup Championship in California to compete against two seasoned pros, McQueen gets to know the town's offbeat characters.",False,en,13.354,2006-06-08,7.035,15192
1384113,Mr. Shota's Last Business Trip,쇼타씨의 마지막 출장,"Shota, a machinist who dedicated his life to his work, prepares for his final business trip to Korea before retiring. Meanwhile, Daesung heads to Japan to win back his ex-girlfriend. The two men happen to meet at a ramen shop on the first day of their journeys. When Shota's resignation letter and Daesung's love letter are swapped, an unexpected story begins.",False,ko,0.9816,2026-05-27,0.0,0
1655419,Everytime,Everytime,"A tragedy brings a mother, daughter, and teenage boy together. Struggling with blame and forgiveness, the unlikely trio take a trip to Tenerife  for a family holiday that never happened. Under the glow of the sun,  past and present quietly start to overlap.",False,de,0.9311,2026-08-06,0.0,0
1242011,Together,Together,"Years into their relationship, Tim and Millie find themselves at a crossroads as they move to the country, abandoning all that is familiar in their lives except each other. With tensions already flaring, a nightmarish encounter with a mysterious, unnatural force threatens to corrupt their lives, their love, and their flesh.",False,en,9.6799,2025-07-14,6.923,1198
27205,Inception,Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",False,en,59.6643,2010-07-15,8.372,39447
1535470,Ask E. Jean,Ask E. Jean,"The thrilling story of E. Jean Carroll’s life, from her early days as Miss Cheerleader USA to her rise as a trailblazing journalist, author, and beloved advice columnist. Carroll broke barriers as the first female editor at Esquire, Playboy, and Outside, helping to redefine women’s roles in media with her sharp wit and fearless voice. In recent years, she reignited public discourse by standing up to power, becoming the only woman to beat Donald Trump twice in court, and sparking a national conversation about truth, accountability, and resilience. A portrait of an indomitable woman who proved it’s never too late to reclaim your voice, rewrite your story, and change the world.",False,en,0.9494,2026-05-22,10.0,1
1606362,Divine Punishment,Castigo divino,"At 35, Pedro is completely antisocial, ruthless, and close to being a psychopath. He works as a nurse in a hospital, making life miserable for his coworkers, dealing drugs, and running illegal poker games. One day, a mysterious patient he always argues with dies beside him and leaves him a magical book that turns him into a kind of angel with supernatural powers. At first, he uses his powers for his own benefit, but he starts to realize that helping others isn’t so bad after all.",False,es,1.1626,2026-02-13,5.286,7
1246215,Re-Creation,Re-Creation,"In a fictitious trial, twelve members of a jury must decide whether journalist Ian Bailey is guilty of the 1996 murder of French filmmaker Sophie Toscan Du Plantier. Based on real events, the film reconstructs, through the discussions between these twelve people, a case that ultimately invites the viewer to draw their own conclusions.",False,en,0.8452,2025-10-03,0.0,0
1677586,Abandonados,Abandonados,"Abandonados, a case by Carles Porta, revisits one of the most unsettling episodes in recent Spanish history. Forty years after being abandoned at a train station in Barcelona, three siblings embark on an investigation to uncover their identity and their past. Through testimonies, archival material, and a long-term investigation, the work reflects on memory, identity, and the search for truth.",False,es,0.6929,2026-05-19,8.0,1
1701686,World War Bigfoot,World War Bigfoot,"When his platoon is ambushed during WWII, an American medic escapes into the nearby forest, relentlessly pursued by the enemy. While evading capture, he encounters an unbelievable creature, not knowing if it's friend or foe. It will take everything he has to survive as new alliances will be formed and loyalties will be tested.",False,en,0.4398,2026-05-19,0.0,0
1290159,A House of Dynamite,A House of Dynamite,"When a single, unattributed missile is launched at the United States, a race begins to determine who is responsible and how to respond.",False,en,5.2981,2025-10-02,6.4,1276
1613874,Spring,Vesna,"In a Russian-occupied town in southeastern Ukraine, where burying the dead has been forbidden, the church of a young priest, Andriy, has been turned into a morgue for executed Ukrainian civilians. As the occupation tightens its grip, Andriy quietly begins to resist, secretly returning the bodies to their families at great personal risk. Along the way, he forms an unexpected bond with Makarov, an 11-year-old boy who becomes the silent witness to his rebellion.",False,uk,0.2738,2026-05-18,0.0,0
945801,A Writer's Odyssey 2,刺杀小说家2,"Novelist Lu Kongwen fell into the trough of life and decided to destroy his novel ""God Killing"" with his own hands. In the novel world, the protagonist also embarked on a journey of resistance in order to resist the predetermined fate.",False,zh,1.9784,2025-10-01,5.3,17
671,Harry Potter and the Philosopher's Stone,Harry Potter and the Philosopher's Stone,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",False,en,39.3714,2001-11-16,7.899,29718
1402481,The Return of the Lame Hero,毕正明的证明,"Hiding among the gangsters is like walking on thin ice—can the fiery youth hold onto their original aspirations and prove themselves? As the wheels of time roll on, the gangsters' rampant activities and ""spectacles"" have faded away. Today's peace and security are our best ""proof"".",False,zh,0.8408,2025-10-01,6.9,15
1516436,Row to Win,浪浪人生,"A once-mighty gangster-turned-failure navigates life's struggles alongside his eccentric, dysfunctional family - a rebellious son plotting to overthrow him, a formidable wife running the household, a fearless daughter, and a scheming grandmother - as they all clash and collude to survive life's chaos and possibly reclaim their fortune.",False,zh,1.2255,2025-09-30,7.2,6
941109,Play Dirty,Play Dirty,"Expert thief Parker gets a shot at a major heist, but to pull it off he and his team must outsmart a South American dictator, the New York mob, and the world's richest man.",False,en,9.7622,2025-09-30,6.569,645
1074074,The Beloved,El ser querido,"The acclaimed film director Esteban Martínez is a legend both for his films and for his past marked by violence and excess. For his new project, he offers his daughter Emilia a role under the pretext of helping her with her stalled acting career. Living together on set will foster a closeness they haven’t shared for years, but it will also reopen old wounds that never healed.",False,es,1.5613,2026-05-16,7.041,37
1554364,Full Phil,Full Phil,"Wealthy American industrialist Philip Doom attempts to reconnect with his daughter Madeleine during a luxurious trip to Paris. Unfortunately, French cuisine, a 1950s horror film, and an intrusive hotel employee disrupt their stay.",False,en,1.1796,2026-05-16,0.0,0
1315477,Hallan,한란,"Set against the backdrop of the Jeju Uprising in 1948, which was sparked by an armed revolt of islanders fearing the division of Korea into North and South, the film portrays the tragic consequences of an indiscriminate punitive expedition by the South Korean government. Under the guise of an anti-communist campaign, more than 25,000 civilians were slaughtered. Through the story of a mother fiercely protecting her young daughter, the film highlights the resilience and strength of Jeju women amidst the chaos.",False,ko,1.4087,2025-11-26,6.0,1
1285669,LifeHack,LifeHack,"Four teenage slackers attempt a multi-million-dollar Bitcoin heist from their bedrooms, only to spiral into the darkest corners of the internet-and a danger beyond their computer screens.",False,en,2.3662,2026-05-15,8.7,3
1628367,Kartavya,कर्त्तव्य,"With his family's safety at stake and menacing threats closing in, a police officer must decide how far he'll go to uphold his duty.",False,hi,10.3165,2026-05-15,6.675,20
1566470,La Nirvana,La Nirvana,,False,fr,0.9709,2026-08-19,0.0,0
1693346,Apple Music Live: Lady Gaga MAYHEM Requiem,Apple Music Live: Lady Gaga MAYHEM Requiem,"For Apple Music Live, Gaga presents MAYHEM Requiem, a celebration and musical reimagining of MAYHEM.",False,en,4.3095,2026-05-14,8.3,33
1592087,Leo and Tig. The Road to Baikal,Лео и Тиг. Дорога на Байкал,"Leo and Tig set off on a journey to faraway Lake Baikal to bring back home the lost seal pup named Lufi. Along the way, they make new friends with Zhu, a red panda, and Wukong the Monkey King. They also cross paths with the evil chieftain of a horse herd Tengri-Khan, who wants to seize the seal. For whoever brings Lufi home will be granted any wish by the Master of Baikal – the great dragon Lusud.",False,ru,0.9037,2026-05-14,0.0,0
